"","date","state_AU","AU","state_CA","CA","state_DK","DK","state_IS","IS","state_JP","JP","state_NZ","NZ","state_NO","NO","state_SE","SE","state_CH","CH","state_GB","GB","state_US","US","state_AT","AT","state_BE","BE","state_FI","FI","FR","state-FR","state_DE","DE","state_GR","GR","state_IE","IE","state_IT","IT","state_LU","LU","state_NL","NL","state_PT","PT","state_ES","ES","CN","state-CN","state_HK","HK","state_IN","IN","state_ID","ID","state_KR","KR","MY","state-MY","state_PH","PH","SG","state-SG","state_TH","TH","CO","state-CO","MX","state-MX","state_BG","BG","state_HR","HR","CZ","state-CZ","state_EE","EE","state_HU","HU","state_LV","LV","state_LT","LT","state_PL","PL","state_RO","RO","SK","state-SK","state_SI","SI","IL","state-IL","SA","state-SA","state_AE","AE","state_RU","RU","state_ZA","ZA","state_TR","TR","state_AR","AR","state_BR","BR","CL","state-CL","state_PE","PE","state_RS","RS"
"21",1985 Q1,1,11.4554752215191,1,11.3943839438976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,13.0525427419003,1,12.5542456865363,1,12.323067039735,1,14.803323886685,NA,NA,-1,10.4430813663373,NA,NA,NA,NA,NA,NA,1,8.77845236264639,NA,NA,NA,NA,NA,NA,NA,NA,1,8.90402557398357,NA,NA,NA,NA,1,11.2675950556994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,12.1742294991486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",1985 Q2,1,11.4751502515883,1,11.4164954430183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13.0529008074949,1,12.5695995111371,1,12.3375208741633,1,14.820061876923,NA,NA,-1,10.4341144954072,NA,NA,NA,NA,NA,NA,1,8.77774331399504,NA,NA,NA,NA,NA,NA,NA,NA,1,8.92958672115976,NA,NA,NA,NA,1,11.3323605702142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,12.1515544325398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",1985 Q3,1,11.4930915348499,1,11.4578268102296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13.069239206737,1,12.5947493891288,1,12.3789467002969,1,14.8558363378368,NA,NA,-1,10.4304010482744,NA,NA,NA,NA,NA,NA,1,8.80920020127977,NA,NA,NA,NA,NA,NA,NA,NA,1,8.98238194472368,NA,NA,NA,NA,1,11.4015582540622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,12.1599231920423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",1985 Q4,1,11.5104780253303,1,11.4952513021372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13.0723528499871,1,12.6091300341508,1,12.4146748184898,1,14.8806470366152,NA,NA,1,10.4445451750818,NA,NA,NA,NA,NA,NA,-1,8.75689522909051,NA,NA,NA,NA,NA,NA,NA,NA,1,9.01596444804629,NA,NA,NA,NA,1,11.4388211381169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,12.1607546685867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",1986 Q1,1,11.5138690108424,1,11.5142095324359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13.1135007787118,1,12.6277990614379,1,12.4462695325622,1,14.896754019503,NA,NA,1,10.4475780466127,NA,NA,NA,NA,NA,NA,-1,8.74317430296673,NA,NA,NA,NA,NA,NA,NA,NA,1,9.01244878923297,NA,NA,NA,NA,1,11.4729043266628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,12.1385406893823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",1986 Q2,1,11.5164455770708,1,11.5433988624516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13.1623634152921,1,12.652443063985,1,12.4788022704952,1,14.931468657052,NA,NA,1,10.4543146978591,NA,NA,NA,NA,NA,NA,-1,8.735287781817,NA,NA,NA,NA,NA,NA,NA,NA,1,9.05054547757825,NA,NA,NA,NA,1,11.5327814858172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,12.1416669706233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",1986 Q3,-1,11.5153872991851,1,11.6042311047619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13.2090659667183,1,12.6814766339964,1,12.5313502189009,1,14.964070958637,NA,NA,1,10.4676212874902,NA,NA,NA,NA,NA,NA,-1,8.74186224685063,NA,NA,NA,NA,NA,NA,NA,NA,1,9.08191932305518,NA,NA,NA,NA,1,11.6234626299648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,12.1413810133526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",1986 Q4,-1,11.5120557470189,1,11.6478602138732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13.2475769878955,1,12.7040327267729,1,12.5730305816867,1,14.9963332232279,NA,NA,1,10.4917304077971,NA,NA,NA,NA,NA,NA,-1,8.71777280498999,NA,NA,NA,NA,NA,NA,NA,NA,1,9.13823096001166,NA,NA,NA,NA,1,11.6760053228311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,12.1461377743247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",1987 Q1,1,11.5216669831331,1,11.6594256943325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13.2730139567034,1,12.7164190315899,1,12.6020726943913,1,15.004765138972,NA,NA,1,10.5011216649644,NA,NA,NA,NA,NA,NA,-1,8.70741827819833,NA,NA,NA,NA,NA,NA,NA,NA,1,9.15745190091791,NA,NA,NA,NA,1,11.7448619164489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,12.1614865850929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",1987 Q2,1,11.5480454856894,1,11.7082062140626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13.3056885211984,1,12.7409883473454,1,12.6327834747041,1,15.0331485908851,NA,NA,1,10.5168929227683,NA,NA,NA,NA,NA,NA,-1,8.67638139324989,NA,NA,NA,NA,NA,NA,NA,NA,1,9.21816655287515,NA,NA,NA,NA,1,11.8239867363499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,12.1790141694279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",1987 Q3,1,11.5605921878198,1,11.7738408589185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13.3243880713368,1,12.7662969023846,1,12.6801359736037,1,15.0499718067059,NA,NA,1,10.5292305904848,NA,NA,NA,NA,NA,NA,1,8.69898097764757,NA,NA,NA,NA,NA,NA,NA,NA,1,9.26635997210321,NA,NA,NA,NA,1,11.864137980297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,12.2036185217389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
