"","date","RPP_AU","RPP_CA","RPP_DK","RPP_IS","RPP_JP","RPP_NZ","RPP_NO","RPP_SE","RPP_CH","RPP_GB","RPP_US","RPP_AT","RPP_BE","RPP_FI","RPP_FR","RPP_DE","RPP_GR","RPP_IE","RPP_IT","RPP_LU","RPP_NL","RPP_PT","RPP_ES","RPP_CN","RPP_HK","RPP_IN","RPP_ID","RPP_KR","RPP_MY","RPP_PH","RPP_SG","RPP_TH","RPP_CO","RPP_MX","RPP_BG","RPP_HR","RPP_CZ","RPP_EE","RPP_HU","RPP_LV","RPP_LT","RPP_PL","RPP_RO","RPP_SK","RPP_SI","RPP_IL","RPP_RU","RPP_ZA","RPP_TR","RPP_AR","RPP_BR","RPP_CL","RPP_PE","RPP_RS"
"11",1998 Q3,5.07752301336378,4.84555559823177,5.1693306206894,NA,NA,5.01921739772633,5.17912596077604,4.95014600042945,4.61874746665576,5.09659603431423,5.02594858262296,NA,4.97411407617354,5.12853186084477,NA,NA,NA,5.39332061230211,NA,NA,5.18128661247385,NA,5.02343903391622,NA,4.52736560457675,NA,NA,NA,4.87859565426797,NA,4.25220264683768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.53318111731613,NA,5.47611599844637,NA,NA,NA,NA
"12",1998 Q4,5.08946407620409,4.85787092890089,5.17992929314178,NA,NA,5.0348378188044,5.14438005220398,4.96280831218681,4.61437639221602,5.08542548068414,5.04077604290054,NA,4.97466317331454,5.13805897762179,NA,NA,NA,5.47913242401111,NA,NA,5.20279865655798,NA,5.04164563313542,NA,4.5163093429321,NA,NA,NA,4.87192400101467,NA,4.16324854086931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.51504664546866,NA,5.48425484391409,NA,NA,NA,NA
"13",1999 Q1,5.10720852808589,4.86071631463447,5.19031058845208,NA,NA,5.05085656933053,5.17372216533937,4.97648280119686,4.61615609258839,5.0928493748599,5.05244551276471,NA,4.98970081767779,5.15370734326659,NA,NA,NA,5.52029284268061,NA,NA,5.23637687873577,NA,5.06449480747071,NA,4.54454174633258,NA,NA,NA,4.84321130061953,NA,4.21508617991823,4.91632092510901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.50514056541118,NA,5.48872819519878,NA,NA,NA,NA
"14",1999 Q2,5.1253572341895,4.88827358580915,5.19460381431941,NA,4.49432070052015,5.06069349557759,5.24428958240094,5.00908143712347,4.61026250898106,5.12388725451621,5.06219322902811,NA,5.0027897229648,5.16981885446311,NA,NA,NA,5.48730166023601,NA,NA,5.26967796103599,NA,5.09047119745125,NA,4.55365237976332,NA,NA,NA,4.84579692852191,NA,4.32452992832536,4.68950397242327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.52466270870744,NA,5.4982479702215,NA,NA,NA,NA
"15",1999 Q3,5.13503619232623,4.87271806208474,5.20787529943788,NA,4.48886720985989,5.05670055387822,5.26608433106166,5.03883279733424,4.60486335396369,5.18313127393143,5.07586627228639,NA,5.03634323548595,5.20462751441731,NA,NA,NA,5.57539396075327,NA,NA,5.31913841171755,NA,5.10943562522359,NA,4.54940617382802,NA,NA,NA,4.86081937310309,NA,4.40035759135861,4.88601937594354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5355291417053,NA,5.49755005028676,NA,NA,NA,NA
"16",1999 Q4,5.16155723651493,4.8835636207373,5.20168715342401,NA,4.47907266026568,5.04451475074151,5.2899018386312,5.03403554097818,4.60449605984811,5.20505353863588,5.09059336644556,NA,5.01523396484329,5.22120012873791,NA,NA,NA,5.60830432814169,NA,NA,5.35577234644897,NA,5.10577028675963,NA,4.50899035916704,NA,NA,NA,4.87509988522022,NA,4.45166929500233,4.84470456654143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.56069569588626,NA,5.56053743088077,NA,5.49990890696032,NA,NA,NA,NA
"17",2000 Q1,5.17116111609176,4.8834762600544,5.20968261632684,NA,4.47555387436597,5.04050609269131,5.33735767013018,5.06539054959147,4.59581206719657,5.2334181540216,5.10559829331397,4.58741346439883,5.03698597662971,5.2263068038286,NA,NA,NA,5.59919340221137,NA,NA,5.39733978685821,NA,5.12873362784939,NA,4.5380418997352,NA,NA,NA,4.87393174913722,NA,4.4751753893719,4.84102672556229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.52580225060452,NA,5.60782709500553,NA,5.49198795242327,NA,NA,NA,NA
"18",2000 Q2,5.18737945054608,4.89395826409735,5.22514626328088,NA,4.46321219888871,5.03069364331732,5.39450268073544,5.1054820152123,4.60361873885894,5.27824005553503,5.12009017842611,4.56393143797149,5.03221588657838,5.22880206293275,NA,NA,NA,5.5949939358102,NA,NA,5.42554114851886,NA,5.1470241648199,NA,4.47094755878071,NA,NA,NA,4.9017157183738,NA,4.49132936956433,4.87379120678061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.52915269956418,NA,5.62694208805496,NA,5.49269308794034,NA,NA,NA,NA
"19",2000 Q3,5.14826121676453,4.88241028581585,5.24705586489145,NA,4.45547369051087,5.01852492450636,5.36206745392775,5.13986999262885,4.6143601222999,5.29824683436216,5.13388040981296,4.54020490713573,5.0386917561093,5.20417166962385,NA,NA,NA,5.62713624900477,NA,NA,5.46271189917825,NA,5.14829537530593,NA,4.44608926639293,NA,NA,NA,4.90698255944719,NA,4.45446356856339,4.8375769580516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.50590218432942,NA,5.64106061130875,NA,5.48426035743843,NA,NA,NA,NA
"20",2000 Q4,5.1690599163728,4.88592193739415,5.2486798164977,NA,4.44594265552154,5.00259177623081,5.35284325610324,5.13642002494519,4.60746423682947,5.3203588666479,5.15107224092514,4.5295841990315,5.0477232495539,5.18265938373468,NA,NA,NA,5.67424155315222,NA,NA,5.47671321765589,NA,5.14095774504012,NA,4.41001076695575,NA,NA,NA,4.90357756965536,NA,4.42172800152543,4.85977681251994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.49043250851767,NA,5.67270207202253,NA,5.47851745688564,NA,NA,NA,NA
